stopId,stopNumber,stopName
2327,3520,"Spreitenbach, Brüel"
2328,2436,"Schlieren, Spital Limmattal"
2329,6364,"Wangen, Stierwisen"
2332,1178,"Urdorf, Herweg"
2333,2268,"Weiningen ZH, Schulhaus"
2334,3183,"Weiningen ZH, Aegelsee"
2336,1265,"Dietikon, Hätschen"
2337,1266,"Wangen, Hätzelwisen"
2338,1091,"Dietikon, Hagackerstrasse"
2339,1094,"Oetwil an der Limmat, Halde"
2341,2440,"Urdorf, Spitzacker"
2346,1616,"Dietikon, Marmori-Weiher"
2350,6462,"Spreitenbach, Ikea"
2351,6297,"Urdorf, Heinrich-Stutz-Strasse"
2352,6724,"Unterengstringen, Langwisen"
2354,701,"Geroldswil, Dorfstrasse"
2356,1620,"Zürich, Mattenhof"
2358,1451,"Dübendorf, Kreuzbühl"
2360,3460,"Spreitenbach, Asp"
2361,1540,"Dietikon, Lerzen"
2362,2631,"Schlieren, Talacker-Windegg"
2363,457,"Bergdietikon, Bergli"
2366,3727,"Glanzenberg, Bahnhof"
2367,547,"Zürich, Brunaustrasse"
2368,548,"Fahrweid, Brunaustrasse"
2369,3472,"Dietikon, Schönenwerd"
2370,2384,"Spreitenbach, Shopping Center"
2373,1725,"Urdorf, Neumatt"
2374,1726,"Urdorf, Neumattstrasse"
2375,2814,"Zürich, Waldgarten"
2376,466,"Bergdietikon, Bernold"
2377,6744,"Birmensdorf ZH, Ristet"
2378,1556,"Fahrweid, Limmatbrücke"
2379,2471,"Dietikon, Staffelackerstrasse"
2380,550,"Schlieren, Brunngasse"
2381,725,"Dietikon, Dörfli"
2382,1388,"Schlieren, Kesslerstrasse"
2383,1640,"Zürich, Micafil"
2385,729,"Bergdietikon, Dünni"
2386,2732,"Urdorf, Uitikonerstrasse"
2387,3822,"Killwangen, Bahnhof"
2388,6663,"Spreitenbach, Altersheim"
2389,815,"Fahrweid, Au"
2391,1731,"Urdorf, Niederurdorf"
2392,2569,"Dietikon, Stelzenacker"
2394,2399,"Dietikon, Moosmatt"
2396,1397,Kindhausen AG
2397,6586,"Spreitenb, Center Spreitenbach"
2398,3748,"Schlieren, Steinacker"
2400,1911,"Dübendorf, Post"
2401,1571,"Weiningen ZH, Lindenplatz"
2404,488,"Zürich, Billoweg"
2406,2666,"Zürich, Tierspital"
2410,743,"Unterengstringen, Eckstein"
2411,748,"Oberengstringen, Eggbühl"
2412,3589,"Urdorf, Oberurdorf"
2413,1666,"Zürich, Museum Rietberg"
2414,2582,"Zürich, Stockerstrasse"
2422,1179,"Zürich, Herzogenmühlestrasse"
2423,6626,"Zürich, Blumenfeldstrasse"
2424,6627,"Zürich, Aspholz"
2425,6628,"Zürich, Mühlacker"
2426,3444,"Zürich, Glockenacker"
2427,1527,"Ebmatingen, Leeacherstrasse"
2428,617,"Zürich, Carl-Spitteler-Strasse"
2429,1705,"Zürich, Neuaffoltern"
2430,445,Benglen
2431,446,"Benglen, Gerlisbrunnen"
2432,2622,"Pfaffhausen, Sängglen"
2433,447,"Ebmatingen, Benkelsteg"
2434,1362,"Zürich, Kapfstrasse"
2435,708,"Zürich, Dreispitz"
2436,3467,"Binz bei Maur, Fridlimatt"
2437,455,"Zürich, Berghaldenstrasse"
2438,713,"Zürich, Drusbergstrasse"
2439,2737,"Zürich, Unteraffoltern"
2440,901,"Zürich, Friedrichstrasse"
2441,908,"Zürich, Frohburg"
2442,1821,"Zürich, Oberwiesenstrasse"
2443,738,Ebmatingen
2444,2836,"Zürich, Waserstrasse"
2445,914,"Zürich, Fronwald"
2446,6591,"Effretikon, Garage Andres"
2447,833,"Pfaffhausen, Feldhof"
2448,490,"Binz bei Maur, Post"
2449,1583,"Ebmatingen, Looren"
2450,1584,"Zürich, Loorenstrasse"
2451,3760,"Zürich, Hallenbad Oerlikon"
2452,750,"Fällanden, Eggler"
2453,3764,"Zürich, Max-Bill-Platz"
2454,1000,"Zürich, Glaubtenstrasse"
2455,678,"Maur, Dorf"
2456,2688,"Zürich, Tulpenstrasse"
2457,767,"Zürich, Einfangstrasse"
2458,684,"Schwerzenbach ZH, Dorf"
2459,947,"Fällanden, Gemeindehaus"
2460,694,"Zürich, Dorflinde"
2461,1871,"Pfaffhausen, Pfaffenstein"
2462,1873,"Pfaffhausen, Müseren"
2463,888,"Zürich, Friedackerstrasse"
2464,1892,"Maur, Platten"
2465,2145,"Zürich, Saatlenstrasse"
2466,899,"Zürich, Friedhof Witikon"
2467,1403,"Maur, Kirche"
2468,2069,"Zürich, Riedgraben"
2469,6511,"Zürich, Bahnhof Affoltern Süd"
2470,1324,"Fällanden, Industrie"
2471,2335,"Fällanden, Schützenhaus"
2472,1160,"Zürich, Herbstweg"
2473,2251,"Zürich, Schlyfi"
2474,2342,"Maur, See"
2475,1498,"Unterengstringen, Langacher"
2476,838,"Schlieren, Feldstrasse"
2478,1758,"Dietikon, Oberdorf"
2480,1759,"Oetwil an der Limmat, Oberdorf"
2481,1586,"Urdorf, Luberzen"
2482,1587,"Zürich, Luchswiesen"
2483,3590,"Urdorf, Sonne"
2484,753,"Dübendorf, Eglishölzli"
2485,1843,"Dietikon, Oetwilerstrasse"
2486,757,"Kindhausen AG, Eichholz"
2487,2005,"Zürich, Post Wollishofen"
2488,586,"Zürich, Butzenstrasse"
2489,2008,"Zürich, Probstei"
2490,6693,"Dietikon, Gyrhalden"
2491,6694,"Dietikon, Weidstrasse"
2492,6695,"Dietikon, Lätten"
2496,6698,"Dietikon, Weinberg"
2497,2850,"Wangen, Weidli"
2498,6780,"Kilchberg ZH, Obere Hornhalde"
2499,6781,"Kilchberg ZH, Emilienheim"
2500,6782,"Kilchberg ZH, Breitloo"
2505,935,"Schlieren, Gasometerbrücke"
2506,3774,"Zürich, Bhf Wollishofen (Bus)"
2508,2689,"Zürich, Tunnelstrasse"
2509,1856,"Zürich, Ottikerstrasse"
2510,2107,"Zürich, Roswiesen"
2511,2109,"Zürich, Rote Fabrik"
2514,6038,"Dietikon, Garage Limmatbus AG"
2516,2869,"Geroldswil, Welbrig"
2518,1862,"Oberengstringen, Paradies"
2520,1690,"Schlieren, Mülligen"
2524,2551,"Zürich, Bahnhof Selnau"
2525,1723,"Fällanden, Neuhus"
2526,1122,"Zürich, Hardplatz"
2527,1234,"Zürich, Bäckeranlage"
2528,1158,"Zürich, Helvetiaplatz"
2529,1076,"Zürich, Güterbahnhof"
2530,92,"Zürich, Am Suteracher"
2531,2276,"Zürich, Schulhaus Buchlern"
2532,716,"Zürich, Dunkelhölzli"
2533,542,"Zürich, Bristenstrasse"
2534,6003,"Zürich, Solidapark"
2535,1570,"Zürich, Lindenplatz"
2536,5001,"Zürich, Bahnhof Altstetten N"
2537,1581,"Zürich, Loogarten"
2538,592,"Zürich, Bändliweg"
2539,852,"Zürich, Feusisbergli"
2540,3022,"Zürich, Bahnhof Altstetten"
2541,1698,"Zürich, Neeserweg"
2542,2033,"Zürich, Rautihalde"
2543,2034,"Zürich, Rautistrasse"
2544,1041,"Zürich, Grünaustrasse"
2545,893,"Zürich, Friedhof Eichbühl"
2546,2152,"Zürich, Salzweg"
2547,427,"Zürich, Baslerstrasse"
2548,1341,"Itschnach, Dorf"
2549,1342,"Itschnach, Fallacher"
2550,1519,"Zürich, Laubegg"
2551,3522,"Zürich, Sukkulentensammlung"
