stopId;stopNumber;stopNameShort;stopName
2377;6744;RIST;Birmensdorf ZH, Ristet
1312;657;BDIE;Dietikon, Bahnhof
2809;46;ALBG;Zürich, Albisgütli
2852;1327;IGAS;Schlieren, Industrie Gaswerk
2652;1471;KROE;Zürich, Krönleinstrasse
2541;1698;NEES;Zürich, Neeserweg
1407;1457;KREK;Kilchberg ZH, Kreuzstrasse
1748;1657;MOOS;Rüschlikon, Moosstrasse
2641;1724;NEUM;Zürich, Neumarkt
2741;9;RALS;Rüschlikon, Alsenstrasse
2375;2814;WALD;Zürich, Waldgarten
2784;2799;WAIB;Zürich, Waidbadstrasse
2043;2236;SCHL;Schlieren, Zentrum/Bahnhof
2684;3588;VULK;Zürich, Vulkanstrasse
2143;6593;EWEG;Adliswil, Eichenweg
2584;3450;CHAL;Zürich, Chaletweg
2452;750;EGGL;Fällanden, Eggler
2509;1856;OTTI;Zürich, Ottikerstrasse
2109;8809;FOR99;Forch
2716;6020;GLAS;Zürich, Glaubtenstrasse Süd
2745;2776;VERE;Zürich, Verenastrasse
2018;3798;VORS;Dietikon, Vorstadt
2845;1407;KFLU;Zürich, Kirche Fluntern
2484;753;EGLI;Dübendorf, Eglishölzli
2550;1519;LAUB;Zürich, Laubegg
1809;1763;ORUE07;Rümlang, Oberdorf
2450;1584;LOOR;Zürich, Loorenstrasse
2650;1644;MILA;Zürich, Militär-/Langstrasse
2376;466;BOLD;Bergdietikon, Bernold
2090;144;BADA;Zürich, Bad Allenmoos
2508;2689;TUNN;Zürich, Tunnelstrasse
2708;3769;TFUS;Zürich, Trichtenhausenfussweg
2751;859;FLOB;Zürich, Flobotstrasse
1540;6347;SCHB;Schlieren, Bahnhof
2333;2268;SWEI;Weiningen ZH, Schulhaus
2769;867;FLUR;Zürich, Flurstrasse
1890;411;NEUQ;Zürich, Neumühlequai
2308;1138;HEDW;Zürich, Hedwigsteig
2394;2399;DMOO;Dietikon, Moosmatt
2108;6046;DEPF;Forch, Depot Forchbahn
2626;1549;LPAW;Zürich, Letzipark West
1790;1925;PGLA07;Glattbrugg, Post
2040;1054;GRUZ;Dübendorf, Grüzenstrasse
2844;6421;DEPD;Zürich, Depot Dolderbahn
2183;2771;SIHN;Zürich, Sihlcity Nord
2544;1041;GRUN;Zürich, Grünaustrasse
2744;594;BAER;Zürich, Bärenbohlstrasse
2315;1507;LANM;Zürich, Langmauerstrasse
2819;2314;SAPI;Zürich, Schäppiweg
1379;6508;GLIN07;Glattbrugg, Lindberghplatz
143;2570;BirmSte;Birmensdorf ZH, Sternen/WSL
2158;148;ABAD01;Adliswil, Badstrasse
1797;497;BIGL;Zürich, Birch-/Glatttalstrasse
2676;2838;DWAS;Dübendorf, Wasserfurren
2862;1503;LANG;Zürich, Langgrütstrasse
2619;2803;WAIS;Zürich, Waidspital
2258;1098;HALB;Zürich, Haldenbach
1904;2264;SOKI;Kilchberg ZH, Schoorenstrasse
2906;6825;USEN;Unterengstringen, Sennenbüel
2053;1414;KWIL;Dübendorf, Kirche Wil
2657;2396;SIHS;Zürich, Sihlstrasse
2187;6735;WGLA07;Wallisellen, Glatt
2436;3467;FMAT;Binz bei Maur, Fridlimatt
1417;1542;RLET07;Rümlang, Letten
1687;2820;BWAL07;Wallisellen, Bahnhof
2102;8802;WAB99;Waldburg
2606;1194;HINT;Zürich, Hinterbergstrasse
2706;3767;SEGE;Zürich, Segeten
2755;2695;TAEG;Itschnach, Tägermoos
2872;2341;SUET;Zollikon, Schützenstrasse
2772;2872;WERD;Zürich, Werdhölzli
1736;6485;GARG01;Garage Adliswil
